choice,da,db,dc,ra,rb,rc
3,1,1,1,1.3,1.3,1.3
1,1,1,0.77306,1.3,1.3,1.2269
2,0.82988,1,0.84114,1.1701,1.3,1.2269
3,0.88092,0.84756,0.8888,1.1701,1.1524,1.2269
1,0.91664,0.89329,0.70894,1.1701,1.1524,1.1402
2,0.76952,0.92531,0.79626,1.0422,1.1524,1.1402
3,0.83867,0.67179,0.85738,1.0422,1.1284,1.1402
2,0.88707,0.77025,0.6281,1.0422,1.1284,1.1122
3,0.92095,0.55567,0.73967,1.0422,1.1119,1.1122
2,0.94466,0.68897,0.55194,1.0422,1.1119,1.0781
2,0.96126,0.48765,0.68636,1.0422,1.1172,1.0781
2,0.97288,0.37382,0.78045,1.0422,1.1497,1.0781
2,0.98102,0.29753,0.84631,1.0422,1.1856,1.0781
2,0.98671,0.29511,0.89242,1.0422,1.2724,1.0781
2,0.9907,0.2392,0.92469,1.0422,1.305,1.0781
2,0.99349,0.24156,0.94729,1.0422,1.3791,1.0781
2,0.99544,0.20753,0.9631,1.0422,1.4176,1.0781
2,0.99681,0.19099,0.97417,1.0422,1.4633,1.0781
2,0.99777,0.1565,0.98192,1.0422,1.4405,1.0781
2,0.99844,0.14614,0.98734,1.0422,1.4039,1.0781
2,0.99891,0.11146,0.99114,1.0422,1.4131,1.0781
2,0.99923,0.08093,0.9938,1.0422,1.416,1.0781
2,0.99946,0.060594,0.99566,1.0422,1.412,1.0781
2,0.99962,0.070413,0.99696,1.0422,1.384,1.0781
2,0.99974,0.081334,0.99787,1.0422,1.352,1.0781
2,0.99982,0.076329,0.99851,1.0422,1.3326,1.0781
2,0.99987,0.1114,0.99896,1.0422,1.2746,1.0781
2,0.99991,0.10899,0.99927,1.0422,1.2436,1.0781
2,0.99994,0.083388,0.99949,1.0422,1.2365,1.0781
2,0.99996,0.080964,0.99964,1.0422,1.2139,1.0781
2,0.99997,0.098835,0.99975,1.0422,1.1718,1.0781
2,0.99998,0.10896,0.99982,1.0422,1.132,1.0781
2,0.99998,0.1248,0.99988,1.0422,1.0835,1.0781
2,0.99999,0.15107,0.99991,1.0422,1.0198,1.0781
2,0.99999,0.11278,0.99994,1.0422,1.0127,1.0781
2,0.99999,0.083426,0.99996,1.0422,1.0172,1.0781
2,1,0.061727,0.99997,1.0422,1.0205,1.0781
2,1,0.10447,0.99998,1.0422,1.0818,1.0781
2,1,0.098783,0.99999,1.0422,1.1074,1.0781
2,1,0.094257,0.99999,1.0422,1.1326,1.0781
2,1,0.1012,0.99999,1.0422,1.1678,1.0781
2,1,0.10312,1,1.0422,1.1355,1.0781
2,1,0.15471,1,1.0422,1.053,1.0781
2,1,0.15856,1,1.0422,1.0027,1.0781
2,1,0.17057,1,1.0422,0.94313,1.0781
2,1,0.20224,1,1.0422,0.86029,1.0781
3,1,0.21189,1,1.0422,0.78997,1.0781
1,1,0.44832,0.91396,1.0422,0.78997,0.8641
1,0.79251,0.61383,0.93977,1.1348,0.78997,0.8641
1,0.61485,0.72968,0.95784,1.1948,0.78997,0.8641
1,0.47155,0.81077,0.97049,1.236,0.78997,0.8641
1,0.35549,0.86754,0.97934,1.2614,0.78997,0.8641
1,0.26644,0.90728,0.98554,1.279,0.78997,0.8641
1,0.202,0.9351,0.98988,1.2635,0.78997,0.8641
1,0.15825,0.95457,0.99291,1.2467,0.78997,0.8641
1,0.15476,0.9682,0.99504,1.2906,0.78997,0.8641
1,0.1293,0.97774,0.99653,1.3116,0.78997,0.8641
1,0.17315,0.98442,0.99757,1.3943,0.78997,0.8641
1,0.19237,0.98909,0.9983,1.4654,0.78997,0.8641
1,0.21682,0.99236,0.99881,1.5476,0.78997,0.8641
1,0.20337,0.99465,0.99917,1.5992,0.78997,0.8641
1,0.19021,0.99626,0.99942,1.5513,0.78997,0.8641
1,0.20557,0.99738,0.99959,1.4789,0.78997,0.8641
1,0.23983,0.99817,0.99971,1.383,0.78997,0.8641
1,0.25465,0.99872,0.9998,1.2962,0.78997,0.8641
1,0.25743,0.9991,0.99986,1.217,0.78997,0.8641
1,0.22159,0.99937,0.9999,1.1756,0.78997,0.8641
1,0.20147,0.99956,0.99993,1.1293,0.78997,0.8641
1,0.16082,0.99969,0.99995,1.1095,0.78997,0.8641
1,0.15285,0.99978,0.99997,1.1498,0.78997,0.8641
1,0.18174,0.99985,0.99998,1.2245,0.78997,0.8641
1,0.28352,0.99989,0.99998,1.3808,0.78997,0.8641
1,0.31781,0.99993,0.99999,1.5001,0.78997,0.8641
1,0.27761,0.99995,0.99999,1.5553,0.78997,0.8641
1,0.23118,0.99996,0.99999,1.5921,0.78997,0.8641
1,0.20074,0.99997,1,1.6311,0.78997,0.8641
1,0.19159,0.99998,1,1.6821,0.78997,0.8641
